D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
1.0,24.75,26.63,,0.9,800000000.0,2.384336396265625e-07,11.963630563088213,24.65280631111841,5.8459101919135446
1.0,16.63,17.37,,0.9,590000000.0,2.900248997414536e-07,15.74389923904487,31.706887440549583,5.687011980687847
1.0,31.76,34.58,,1.2,980000000.0,2.7451616097459403e-14,9.9147332936744,20.683473904350425,5.936715809284818
1.0,15.87,16.5,,0.9,570000000.0,3.495928195629425e-07,16.22393354676819,32.57682701704854,5.68443025540275
1.0,7.47,6.92,,0.9,350000000.0,1.92933572244898e-06,24.46423329092866,46.76053410921183,5.355271176112127
1.0,7.09,6.5,,0.9,340000000.0,2.960385816262975e-07,25.025025025025023,47.69475357710652,5.329991126885536
1.0,6.72,6.07,,0.9,330000000.0,7.134599421487603e-07,25.606883130185395,48.64076095768254,5.334454545454546
1.0,6.34,5.65,,0.9,320000000.0,1.934715584228516e-06,26.224693171089896,49.63874027908003,5.305540114878636
1.0,5.97,5.21,,0.9,310000000.0,4.090241040582727e-07,26.88653880623768,50.67282247621193,5.267250305939943
1.0,5.59,4.8,,0.9,300000000.0,7.242576227777778e-06,27.558838119384884,51.77770107007249,5.202445781981466
1.0,5.08,4.81,,1.2,290000000.0,0.0035573561312722,27.997610870539045,53.23553767893056,4.656417112299465
1.0,7.84,7.36,,0.9,360000000.0,7.34641004827855e-07,23.91772303276728,45.88325261279633,5.360511727078892
1.0,4.56,4.81,,1.2,280000000.0,0.0145042135045918,28.482995651596,54.80786797393581,3.980817580780333
1.0,3.45,4.81,,1.2,260000000.0,0.0645769172189349,29.658922392486403,58.426382757725264,2.2571713452983584
1.0,2.51,4.81,,1.2,250000000.0,0.1165639447359999,30.92847275201551,61.52163510834643,1.004649021864212
