D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
7.0,126.2766,136.5731,,3.0,350000000.0,1262.5042064900003,0.0,0.0,0.0
7.0,120.806,142.0439,,3.0,400000000.0,839.27937601,0.0,0.0,0.0
7.0,130.8824,131.9727,,3.0,450000000.0,611.03047309,0.0,0.0,0.0
7.0,127.8418,135.0128,,3.0,500000000.0,458.49901736,0.0,0.0,0.0
7.0,131.6667,131.1824,,3.0,550000000.0,359.38274129,0.0,0.0,0.0
7.0,12.6439,24.6685,,3.0,600000000.0,2.3651049699999996e-10,15.8,25.9,0.35
7.0,14.33,28.5544,,3.0,650000000.0,1.2826383401600002e-11,14.3,24.7,0.22
7.0,16.0091,32.723,,3.0,700000000.0,4.257425530000001e-22,13.0,23.5,1.57
7.0,17.6733,37.2325,,3.0,750000000.0,4.600371369999999e-13,11.8,22.5,2.44
7.0,19.3132,42.1611,,3.0,800000000.0,2.284746025e-13,10.8,21.6,0.25
7.0,20.9181,47.6259,,3.0,850000000.0,9.10064137e-10,9.9,20.8,1.81
7.0,22.4724,53.8036,,3.0,900000000.0,4.2008806249999994e-09,9.0,20.1,2.25
7.0,23.9523,60.9969,,3.0,950000000.0,3.2352632463999997e-14,8.2,19.4,3.19
7.0,25.3161,69.81,,3.0,1000000000.0,1.2274059668e-10,7.4,18.9,1.93
2.0,2.5001,4.8038,,3.0,200000000.0,6.47630882,30.4,55.4,1.07
2.0,2.5001,4.8003,,3.0,250000000.0,0.179389625,31.6,55.3,2.14
2.0,4.8345,6.354,,3.0,300000000.0,1.5993422756000002e-12,27.5,48.7,1.4
2.0,121.4292,146.4263,,3.0,350000000.0,926.86133,0.0,0.0,0.0
2.0,133.728,134.1186,,3.0,400000000.0,694.0877330000001,0.0,0.0,0.0
2.0,137.3782,130.4767,,3.0,450000000.0,532.383389,0.0,0.0,0.0
