D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [MeV/c],"f(x',y') [mrad^2]",studied variable,Astra key,xAngle xOffset slope[mm],xAngle yOffset slope [mm],yAngle xOffset slope [mm],yAngle yOffset slope [mm]
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2RotZ,Q_zrot(2),0.001,0.041,0.005,0.0
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3OffsetX,Q_xoff(3),2.792,0.0,2.792,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3OffsetY,Q_yoff(3),0.001,-3.042,0.0,-3.045
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3RotX,Q_xrot(3),0.002,0.0,0.001,0.0
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3RotY,Q_yrot(3),0.001,0.006,0.0,0.006
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3RotZ,Q_zrot(3),0.0,-0.036,-0.004,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1Gradient,Q_grad(1),-0.001,0.0,0.0,0.011
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2Gradient,Q_grad(2),-0.017,0.0,0.0,0.305
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q3Gradient,Q_grad(3),-0.294,0.0,0.0,0.04
10.0,12.194,56.905,,2.0,700,4.23907954e-26,sourceOffsetX,x_off,-0.649,0.0,-0.65,0.001
10.0,12.194,56.905,,2.0,700,4.23907954e-26,sourceOffsetY,y_off,0.001,-8.182,0.0,-8.183
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1OffsetX,Q_xoff(1),0.259,0.0,0.26,0.001
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1OffsetY,Q_yoff(1),0.001,-3.387,0.0,-3.391
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1OffsetZ,Q_pos(1),-0.002,0.0,0.0,0.041
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1RotY,Q_yrot(1),0.001,-0.003,0.0,-0.004
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q1RotZ,Q_zrot(1),0.0,-0.003,0.0,0.001
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2OffsetX,Q_xoff(2),-0.858,0.0,-0.859,0.001
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2OffsetY,Q_yoff(2),0.001,15.008,0.0,15.015
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2RotX,Q_xrot(2),-0.005,0.0,-0.005,0.001
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2RotY,Q_yrot(2),0.0,0.03,0.0,0.03
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q2RotZ,Q_zrot(2),0.001,0.04,0.004,0.0
10.0,12.194,56.905,,2.0,700,4.23907954e-26,Q3OffsetX,Q_xoff(3),2.251,0.0,2.251,0.001
